"mentee","mentor","score"
"nina013","mainye001",0.423076923076923
"renisauma007","mainye001",0.357142857142857
"manahadray024","mainye001",0.357142857142857
"grace016","mainye001",0.346153846153846
"amina028","mainye001",0.346153846153846
"leah021","mainye001",0.333333333333333
"amina030","mainye001",0.321428571428571
"hellen011","mainye001",0.304347826086957
"cecilia010","mainye001",0.296296296296296
"maurine009","mainye001",0.285714285714286
"agnes014","mainye001",0.285714285714286
"anne004","mainye001",0.275862068965517
"jennifer023","mainye001",0.275862068965517
"fatouhia027","mainye001",0.275862068965517
"comorge018","mainye001",0.266666666666667
"joyce022","mainye001",0.266666666666667
"maimuna012","mainye001",0.25
"jerry003","mainye001",0.241379310344828
"christina006","mainye001",0.225806451612903
"diana020","mainye001",0.222222222222222
"mariamali019","mainye001",0.212121212121212
"angeline005","mainye001",0.181818181818182
"theodora017","mainye001",0.172413793103448
"hellen011","nurabdi002",0.444444444444444
"theodora017","nurabdi002",0.363636363636364
"leah021","nurabdi002",0.333333333333333
"amina030","nurabdi002",0.32
"christina006","nurabdi002",0.307692307692308
"comorge018","nurabdi002",0.307692307692308
"angeline005","nurabdi002",0.296296296296296
"cecilia010","nurabdi002",0.291666666666667
"maurine009","nurabdi002",0.28
"agnes014","nurabdi002",0.28
"anne004","nurabdi002",0.269230769230769
"nina013","nurabdi002",0.269230769230769
"jennifer023","nurabdi002",0.269230769230769
"fatouhia027","nurabdi002",0.269230769230769
"joyce022","nurabdi002",0.259259259259259
"manahadray024","nurabdi002",0.259259259259259
"maimuna012","nurabdi002",0.24
"grace016","nurabdi002",0.24
"amina028","nurabdi002",0.24
"jerry003","nurabdi002",0.230769230769231
"renisauma007","nurabdi002",0.214285714285714
"diana020","nurabdi002",0.208333333333333
"mariamali019","nurabdi002",0.2
"comorge018","isabel003",0.423076923076923
"joyce022","isabel003",0.423076923076923
"agnes014","isabel003",0.4
"leah021","isabel003",0.344827586206897
"anne004","isabel003",0.333333333333333
"manahadray024","isabel003",0.321428571428571
"angeline005","isabel003",0.310344827586207
"maimuna012","isabel003",0.307692307692308
"nina013","isabel003",0.285714285714286
"jennifer023","isabel003",0.285714285714286
"fatouhia027","isabel003",0.285714285714286
"amina030","isabel003",0.285714285714286
"diana020","isabel003",0.28
"renisauma007","isabel003",0.275862068965517
"hellen011","isabel003",0.260869565217391
"grace016","isabel003",0.259259259259259
"mariamali019","isabel003",0.258064516129032
"jerry003","isabel003",0.25
"christina006","isabel003",0.233333333333333
"theodora017","isabel003",0.222222222222222
"cecilia010","isabel003",0.214285714285714
"amina028","isabel003",0.214285714285714
"maurine009","isabel003",0.206896551724138
"leah021","eylem004",0.366666666666667
"joyce022","eylem004",0.344827586206897
"manahadray024","eylem004",0.344827586206897
"mariamali019","eylem004",0.32258064516129
