"mentee","mentor","score"
"nina013","mainye001",0.423076923076923
"renisauma007","mainye001",0.357142857142857
"manahadray024","mainye001",0.357142857142857
"hellen011","nurabdi002",0.444444444444444
"theodora017","nurabdi002",0.363636363636364
"leah021","nurabdi002",0.333333333333333
"comorge018","isabel003",0.423076923076923
"joyce022","isabel003",0.423076923076923
"agnes014","isabel003",0.4
"leah021","eylem004",0.366666666666667
"joyce022","eylem004",0.344827586206897
"manahadray024","eylem004",0.344827586206897
"grace016","zikhona005",0.363636363636364
"leah021","zikhona005",0.346153846153846
"joyce022","zikhona005",0.269230769230769
"comorge018","aadila006",0.269230769230769
"angeline005","aadila006",0.259259259259259
"hellen011","aadila006",0.25
"grace016","aadila006",0.25
"leah021","aadila006",0.25
"leah021","ramesh007",0.407407407407407
"grace016","ramesh007",0.375
"agnes014","ramesh007",0.36
"angeline005","stela008",0.32
"cecilia010","stela008",0.318181818181818
"comorge018","stela008",0.28
"cecilia010","agatha009",0.476190476190476
"maurine009","agatha009",0.454545454545455
"renisauma007","agatha009",0.36
"amina028","volanirina010",0.375
"maurine009","volanirina010",0.36
"nina013","volanirina010",0.346153846153846
"amina030","volanirina010",0.346153846153846
"grace016","juliet011",0.413793103448276
"renisauma007","juliet011",0.375
"joyce022","juliet011",0.375
"comorge018","pascale012",0.307692307692308
"joyce022","pascale012",0.307692307692308
"manahadray024","pascale012",0.307692307692308
"mariamali019","chitra013",0.37037037037037
"diana020","chitra013",0.363636363636364
"manahadray024","chitra013",0.346153846153846
"leah021","carlota014",0.321428571428571
"theodora017","carlota014",0.291666666666667
"angeline005","carlota014",0.285714285714286
"grace016","chandani015",0.375
"leah021","chandani015",0.357142857142857
"christina006","chandani015",0.333333333333333
"hellen011","narriman016",0.333333333333333
"diana020","narriman016",0.291666666666667
"renisauma007","narriman016",0.285714285714286
"cecilia010","vilma017",0.416666666666667
"maurine009","vilma017",0.4
"angeline005","vilma017",0.357142857142857
"agnes014","sushma018",0.434782608695652
"joyce022","sushma018",0.4
"jerry003","sushma018",0.375
"maurine009","sushma018",0.375
"amina030","sally019",0.357142857142857
"comorge018","sally019",0.3
"manahadray024","sally019",0.3
